@RELATION pokemon

@ATTRIBUTE	type	{grass,fire,water,bug,flying,normal,poison,electric,ground}
@ATTRIBUTE	height	REAL
@ATTRIBUTE	weight	REAL
@ATTRIBUTE	name	{Bulbasaur,Ivysaur,Venusaur,Charmander,Charmeleon,Charizard,Squirtle,Wartortle,Blastoise,Caterpie,Metapod,Butterfree,Weedle,Kakuna,Beedrill,Pidgey,Pidgeotto,Pidgeot,Rattata,Raticate,Spearow,Fearow,Ekans,Arbok,Pikachu,Raichu,Sandshrew,Sandslash,NidoranF,Nidorina,Nidoqueen,NidoranM,Nidorino,Nidoking}

@DATA
grass,0.65,6.29,Bulbasaur
grass,0.8,6.95,Bulbasaur
grass,0.64,7.26,Bulbasaur
grass,0.64,6.61,Bulbasaur
grass,0.67,7.9,Bulbasaur
grass,0.71,6.72,Bulbasaur
grass,0.72,7.02,Bulbasaur
grass,0.69,7.59,Bulbasaur
grass,0.72,6.67,Bulbasaur
grass,0.83,6.29,Bulbasaur
grass,0.66,7.65,Bulbasaur
grass,0.75,6.73,Bulbasaur
grass,0.68,7.42,Bulbasaur
grass,0.66,7.28,Bulbasaur
grass,0.65,7.04,Bulbasaur
grass,0.83,6.49,Bulbasaur
grass,0.78,6.76,Bulbasaur
grass,0.69,7.0,Bulbasaur
grass,0.73,7.06,Bulbasaur
grass,0.79,5.94,Bulbasaur
grass,0.67,6.9,Bulbasaur
grass,0.73,7.43,Bulbasaur
grass,0.61,6.35,Bulbasaur
grass,0.66,6.65,Bulbasaur
grass,0.56,5.85,Bulbasaur
grass,0.81,6.29,Bulbasaur
grass,0.68,6.72,Bulbasaur
grass,0.6,6.49,Bulbasaur
grass,0.79,5.99,Bulbasaur
grass,0.8,7.25,Bulbasaur
grass,0.62,7.6,Bulbasaur
grass,0.66,6.8,Bulbasaur
grass,0.79,7.58,Bulbasaur
grass,0.67,6.55,Bulbasaur
grass,0.68,7.68,Bulbasaur
grass,0.66,6.25,Bulbasaur
grass,0.65,7.08,Bulbasaur
grass,0.71,6.67,Bulbasaur
grass,0.68,8.06,Bulbasaur
grass,0.78,7.64,Bulbasaur
grass,0.77,6.2,Bulbasaur
grass,0.64,6.38,Bulbasaur
grass,0.66,6.68,Bulbasaur
grass,0.75,7.07,Bulbasaur
grass,0.78,6.99,Bulbasaur
grass,0.68,6.35,Bulbasaur
grass,0.75,5.67,Bulbasaur
grass,0.65,7.37,Bulbasaur
grass,0.65,7.33,Bulbasaur
grass,0.58,7.5,Bulbasaur
grass,0.68,7.26,Bulbasaur
grass,0.7,7.09,Bulbasaur
grass,0.68,6.52,Bulbasaur
grass,0.55,6.26,Bulbasaur
grass,0.7,7.3,Bulbasaur
grass,0.59,6.88,Bulbasaur
grass,0.7,7.25,Bulbasaur
grass,0.65,6.9,Bulbasaur
grass,0.6,5.52,Bulbasaur
grass,0.63,6.51,Bulbasaur
grass,0.75,6.88,Bulbasaur
grass,0.74,6.47,Bulbasaur
grass,0.58,7.47,Bulbasaur
grass,0.58,6.75,Bulbasaur
grass,0.76,5.61,Bulbasaur
grass,0.75,7.55,Bulbasaur
grass,0.71,6.84,Bulbasaur
grass,0.73,7.16,Bulbasaur
grass,0.71,7.39,Bulbasaur
grass,0.76,6.51,Bulbasaur
grass,0.65,6.05,Bulbasaur
grass,0.65,6.52,Bulbasaur
grass,0.61,7.37,Bulbasaur
grass,0.69,6.55,Bulbasaur
grass,0.66,8.02,Bulbasaur
grass,0.66,7.15,Bulbasaur
grass,0.8,6.82,Bulbasaur
grass,0.69,7.04,Bulbasaur
grass,0.75,5.45,Bulbasaur
grass,0.69,6.04,Bulbasaur
grass,0.7,6.07,Bulbasaur
grass,0.7,6.76,Bulbasaur
grass,0.68,5.96,Bulbasaur
grass,0.7,7.88,Bulbasaur
grass,0.8,7.48,Bulbasaur
grass,0.77,7.21,Bulbasaur
grass,0.74,6.54,Bulbasaur
grass,0.7,8.48,Bulbasaur
grass,0.62,6.68,Bulbasaur
grass,0.6,7.17,Bulbasaur
grass,0.7,7.11,Bulbasaur
grass,0.65,7.56,Bulbasaur
grass,0.72,6.84,Bulbasaur
grass,0.71,6.76,Bulbasaur
grass,0.76,7.25,Bulbasaur
grass,0.77,6.87,Bulbasaur
grass,0.75,6.56,Bulbasaur
grass,0.76,8.12,Bulbasaur
grass,0.65,6.58,Bulbasaur
grass,0.74,7.59,Bulbasaur
grass,1.02,13.17,Ivysaur
grass,1.11,12.54,Ivysaur
grass,0.95,12.83,Ivysaur
grass,1.1,14.18,Ivysaur
grass,0.91,11.5,Ivysaur
grass,1.07,11.92,Ivysaur
grass,0.98,14.38,Ivysaur
grass,0.94,12.69,Ivysaur
grass,1.13,13.3,Ivysaur
grass,1.23,12.9,Ivysaur
grass,0.97,10.84,Ivysaur
grass,0.86,11.95,Ivysaur
grass,1.0,13.61,Ivysaur
grass,0.82,12.2,Ivysaur
grass,1.09,12.68,Ivysaur
grass,0.84,13.63,Ivysaur
grass,0.97,10.48,Ivysaur
grass,0.94,13.55,Ivysaur
grass,1.03,15.8,Ivysaur
grass,0.96,11.33,Ivysaur
grass,1.08,14.14,Ivysaur
grass,1.15,12.92,Ivysaur
grass,0.97,12.88,Ivysaur
grass,0.96,11.86,Ivysaur
grass,1.01,15.24,Ivysaur
grass,1.05,13.77,Ivysaur
grass,0.9,14.5,Ivysaur
grass,1.02,12.01,Ivysaur
grass,0.86,14.08,Ivysaur
grass,0.88,14.56,Ivysaur
grass,0.94,12.15,Ivysaur
grass,1.16,13.23,Ivysaur
grass,0.9,14.35,Ivysaur
grass,0.9,13.67,Ivysaur
grass,1.01,12.58,Ivysaur
grass,0.96,13.02,Ivysaur
grass,0.95,13.18,Ivysaur
grass,0.88,10.17,Ivysaur
grass,0.71,12.77,Ivysaur
grass,0.75,13.05,Ivysaur
grass,0.94,13.07,Ivysaur
grass,1.07,12.42,Ivysaur
grass,1.01,13.94,Ivysaur
grass,1.08,12.82,Ivysaur
grass,0.96,12.91,Ivysaur
grass,1.07,12.83,Ivysaur
grass,0.94,13.22,Ivysaur
grass,0.97,14.44,Ivysaur
grass,0.97,12.55,Ivysaur
grass,1.05,12.29,Ivysaur
grass,0.99,13.73,Ivysaur
grass,1.05,12.94,Ivysaur
grass,0.87,13.6,Ivysaur
grass,0.97,12.83,Ivysaur
grass,0.93,12.16,Ivysaur
grass,0.93,14.09,Ivysaur
grass,0.93,13.8,Ivysaur
grass,0.9,11.37,Ivysaur
grass,1.03,13.43,Ivysaur
grass,1.0,12.12,Ivysaur
grass,1.03,12.35,Ivysaur
grass,0.98,13.73,Ivysaur
grass,1.05,11.39,Ivysaur
grass,1.01,12.43,Ivysaur
grass,0.96,13.35,Ivysaur
grass,1.05,13.6,Ivysaur
grass,0.9,13.19,Ivysaur
grass,1.02,11.64,Ivysaur
grass,1.05,14.82,Ivysaur
grass,1.09,13.44,Ivysaur
grass,0.88,14.48,Ivysaur
grass,1.03,12.67,Ivysaur
grass,0.94,12.47,Ivysaur
grass,1.02,13.28,Ivysaur
grass,0.84,12.81,Ivysaur
grass,1.1,12.2,Ivysaur
grass,0.91,15.16,Ivysaur
grass,1.11,12.16,Ivysaur
grass,1.06,13.36,Ivysaur
grass,0.97,11.44,Ivysaur
grass,1.04,10.66,Ivysaur
grass,0.99,13.83,Ivysaur
grass,0.97,15.5,Ivysaur
grass,0.91,13.71,Ivysaur
grass,1.0,15.01,Ivysaur
grass,0.89,13.36,Ivysaur
grass,0.98,13.82,Ivysaur
grass,1.15,14.38,Ivysaur
grass,1.09,11.58,Ivysaur
grass,1.0,14.51,Ivysaur
grass,1.14,11.47,Ivysaur
grass,1.07,11.55,Ivysaur
grass,1.04,13.79,Ivysaur
grass,0.98,14.96,Ivysaur
grass,0.92,11.4,Ivysaur
grass,1.06,11.98,Ivysaur
grass,1.05,13.51,Ivysaur
grass,0.97,15.78,Ivysaur
grass,1.09,13.32,Ivysaur
grass,0.91,14.71,Ivysaur
grass,2.29,109.28,Venusaur
grass,1.9,94.96,Venusaur
grass,2.28,105.89,Venusaur
grass,2.07,124.26,Venusaur
grass,1.92,98.7,Venusaur
grass,2.27,86.03,Venusaur
grass,2.16,107.42,Venusaur
grass,2.03,91.73,Venusaur
grass,2.24,102.33,Venusaur
grass,2.18,88.83,Venusaur
grass,1.65,92.83,Venusaur
grass,1.94,106.0,Venusaur
grass,1.92,100.35,Venusaur
grass,1.75,110.45,Venusaur
grass,1.93,93.11,Venusaur
grass,2.02,99.49,Venusaur
grass,2.2,97.7,Venusaur
grass,2.13,116.22,Venusaur
grass,1.99,98.49,Venusaur
grass,1.96,101.92,Venusaur
grass,1.82,102.26,Venusaur
grass,2.11,96.85,Venusaur
grass,1.76,85.71,Venusaur
grass,2.0,104.79,Venusaur
grass,2.35,79.63,Venusaur
grass,1.81,104.52,Venusaur
grass,1.95,87.82,Venusaur
grass,2.07,94.99,Venusaur
grass,1.87,106.31,Venusaur
grass,2.04,103.37,Venusaur
grass,1.85,91.44,Venusaur
grass,1.85,100.53,Venusaur
grass,2.09,100.56,Venusaur
grass,2.21,85.17,Venusaur
grass,2.16,103.38,Venusaur
grass,1.65,100.92,Venusaur
grass,2.48,84.24,Venusaur
grass,2.01,100.22,Venusaur
grass,1.79,82.76,Venusaur
grass,1.81,85.56,Venusaur
